,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9162,06378500,1,0.9333334,0.93333334
9163,06378840,1,0.2631579,0.2631579
9164,06379000,1,0.125,0.0
9165,06379180,1,0.90909094,0.90909094
9166,06379910,1,0.5,0.0
9167,06380070,1,0.6666667,0.7777778
9168,06380230,1,0.9,0.9
9169,06380560,1,0.0,0.0
9170,06380800,1,0.7,0.6
9171,06381140,1,0.5,0.375
9172,06381480,1,0.54545456,0.54545456
9173,06381890,1,0.6,0.7
9174,06382210,1,0.5,0.25
9175,06382390,1,0.2,0.0
9176,06382540,1,0.0,0.0
9177,06382620,1,0.6,0.1
9178,06382960,1,0.8571429,0.71428573
9179,06383040,1,0.0,0.2
9180,06383200,1,0.33333334,0.16666667
9181,06383530,1,0.5,0.25
9182,06383610,1,0.5882353,0.88235295
9183,06383870,1,0.6,0.0
9184,06383950,1,0.2,0.2
9185,06384110,1,0.5625,0.6875
9186,06384290,1,0.90000004,0.70000005
9187,06384860,1,1.0,1.0
9188,06385020,1,0.44444445,0.11111111
9189,06385360,1,0.42857146,0.14285715
9190,06385930,1,0.62222224,0.6888889
9191,06386430,1,0.75,1.0
9192,06386500,1,1.0,0.5714286
9193,06387180,1,0.5882353,0.5882353
9194,06387590,1,0.54545456,0.36363637
9195,06387670,1,0.9375,0.1875
9196,06388090,1,0.0,0.0
9197,06388250,1,0.7777778,0.5555556
9198,06388330,1,0.0,0.0
9199,06388660,1,0.90625,1.0
9200,06388900,1,0.85714287,0.5714286
9201,06390050,1,0.2857143,0.0
9202,06391200,1,0.23809524,0.14285715
9203,06391530,1,0.55,0.55
9204,06391870,1,0.625,0.5625
9205,06393690,1,0.84615386,0.61538464
9206,06395750,1,0.5882353,0.29411766
9207,06395830,1,0.23076923,0.115384616
9208,06397240,1,0.6,0.4
9209,06398720,1,0.6666667,0.6666667
9210,06403180,1,0.5555556,0.33333334
9211,06403340,1,0.33333334,0.5
9212,06403590,1,0.6666667,0.33333334
9213,06404410,1,0.8,1.0
9214,06404740,1,0.27272728,0.27272728
9215,06406150,1,0.8333334,1.0
9216,06406490,1,0.25,0.25
9217,06407550,1,0.09090909,0.09090909
9218,06408210,1,0.25,0.75
9219,06408880,1,0.25,0.0
9220,06409460,1,0.6,0.6
9221,06410680,1,1.0,0.875
9222,06411420,1,0.33333334,0.16666667
9223,06411750,1,0.25,0.0
9224,06412170,1,0.5714286,0.71428573
9225,06412740,1,0.42857146,0.5714286
9226,06412900,1,1.0,1.0
9227,06413320,1,0.7,0.7
9228,06413570,1,0.7777778,0.7777778
9229,06413650,1,0.6,0.2
9230,06413810,1,0.7777778,0.7777778
9231,06414490,1,1.0,1.0
9232,06415060,1,0.21818182,0.09090909
9233,06415140,1,0.875,0.625
9234,06429910,1,1.0,0.33333334
9235,06430230,1,0.84615386,0.923077
9236,06431140,1,0.90000004,0.4
9237,06434860,1,0.0,0.5
9238,06434940,1,0.6,0.4
9239,06435280,1,0.625,0.375
9240,06435360,1,0.375,0.3125
9241,06435440,1,0.4074074,0.2962963
9242,06435690,1,0.53333336,0.4666667
9243,06435850,1,0.30769232,0.12820514
9244,06435930,1,0.4166667,0.083333336
